PROV1;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;x
PROV4;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;x
PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV29;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;Sombrero de Medicina;x
PROV35;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;x
PROV54;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;Côte de Misère;x
PROV58;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;x
PROV120;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV162;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;x
PROV176;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;x
PROV199;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV345;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;x
PROV356;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;Dyneburg;x
PROV357;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV394;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;Châlerwè;x
PROV424;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;x
PROV451;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;x
PROV468;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV604;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;x
PROV607;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;Ginevra;x
PROV630;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;x
PROV631;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;x
PROV632;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;x
PROV633;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;x
PROV640;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;Fünfkirchen;x
PROV642;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;Raab;x
PROV643;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;Stuhlweißenburg;x
PROV647;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;x
PROV654;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;x
PROV664;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;x
PROV674;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;x
PROV676;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;Kišinev;x
PROV683;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;x
PROV684;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;x
PROV687;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;x
PROV689;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;x
PROV690;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;x
PROV693;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;x
PROV695;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;x
PROV696;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;x
PROV697;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV702;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;x
PROV737;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV768;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;Lubliyana;x
PROV780;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;x
PROV781;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;x
PROV783;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;x
PROV800;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;x
PROV807;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;x
PROV815;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;x
PROV847;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;x
PROV850;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;x
PROV851;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;x
PROV852;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;x
PROV853;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;x
PROV958;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;x
PROV964;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;x
PROV967;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;x
PROV968;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
PROV2583;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;x
